Estacion,Total_Registros,Precipitacion_Disponible,Temperatura_Disponible,Humedad_Rel_Disponible,Humedad_Suelo_Disponible,Fecha_Inicio,Fecha_Fin,Precipitacion_Promedio,Temperatura_Promedio,Humedad_Rel_Promedio,Humedad_Suelo_Promedio
M5023,87854,86112,87854,87854,0,2014-06-23 10:00:00,2024-06-30 23:00:00,0.13272482348569306,7.007500199420204,87.96761772463094,
M5025,87854,45581,87854,87854,0,2014-06-23 10:00:00,2024-06-30 23:00:00,0.19120905640508107,4.880263160845235,90.09637437261999,
P34,87854,82595,87854,87854,0,2014-06-23 10:00:00,2024-06-30 23:00:00,0.13844421575155882,9.691185891295145,87.57025041114946,
P63,87854,63182,87854,87854,0,2014-06-23 10:00:00,2024-06-30 23:00:00,0.1530230128834162,2.914601122306888,90.29793002781456,
